기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-03-14 ~ 2018-03-20 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-03-14,,,,,,2018-03-15,,,,,,2018-03-16,,,,,,2018-03-17,,,,,,2018-03-18,,,,,,2018-03-19,,,,,,2018-03-20,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,지금 만나러 갑니다,2018-03-14,한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은","682,198,900","857,797,500","89,772","112,352",990,"4,278","641,685,700","1,499,483,200","85,399","197,751","1,020","4,319","1,048,910,675","2,548,393,875","125,650","323,401","1,051","4,579","2,403,593,173","4,951,987,048","285,322","608,723","1,163","5,151","2,295,273,100","7,247,260,148","272,180","880,903","1,163","5,066","752,733,300","7,999,993,448","99,894","980,797","1,087","4,718","709,021,900","8,709,015,348","94,239","1,075,036","1,092","4,697","8,533,416,748","1,052,456"
2,사라진 밤,2018-03-07,한국,한국,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",씨네그루(주)키다리이엔티,15세이상관람가,스릴러,이창희,"김상경,김강우,김희애","376,754,000","6,664,237,027","49,340","817,775",675,"3,154","298,371,100","6,962,608,127","39,473","857,248",652,"3,077","413,970,807","7,376,578,934","49,664","906,912",683,"3,232","923,480,403","8,300,059,337","110,296","1,017,208",777,"3,487","775,101,900","9,075,161,237","91,943","1,109,151",749,"3,360","206,959,800","9,282,121,037","27,408","1,136,559",684,"2,976","180,601,900","9,462,722,937","23,879","1,160,438",678,"2,898","3,175,239,910","392,003"
3,리틀 포레스트,2018-02-28,한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,전체관람가,드라마,임순례,"김태리,류준열,문소리,진기주","172,606,900","9,535,087,580","22,905","1,206,662",510,"1,839","145,160,300","9,680,247,880","19,352","1,226,014",521,"1,760","222,310,818","9,902,558,698","26,541","1,252,555",538,"1,897","464,907,224","10,367,465,922","55,314","1,307,869",584,"2,026","383,090,300","10,750,556,222","45,707","1,353,576",588,"1,953","112,879,100","10,863,435,322","15,005","1,368,581",546,"1,789","107,330,500","10,970,765,822","14,371","1,382,952",529,"1,768","1,608,285,142","199,195"
4,허리케인 하이스트,2018-03-14,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,범죄",롭 코헨,"토비 켑벨,매기 그레이스","144,418,300","154,835,300","18,997","20,229",462,"1,775","147,168,300","302,003,600","19,532","39,761",485,"1,768","199,204,375","501,207,975","23,719","63,480",494,"1,764","428,200,073","929,408,048","50,752","114,232",518,"1,784","378,843,500","1,308,251,548","44,909","159,141",544,"1,764","105,249,600","1,413,501,148","14,096","173,237",486,"1,685","87,502,400","1,501,003,548","11,652","184,889",477,"1,624","1,490,586,548","183,657"
5,치즈인더트랩,2018-03-14,한국,한국,(주)마운틴무브먼트스토리,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,스릴러",김제영,"박해진,오연서,박기웅,유인영,오종혁,박산다라,문지윤,김현진,김도완","261,562,900","311,074,500","32,805","38,960",346,"1,636","131,454,100","442,528,600","16,640","55,600",338,"1,526","197,488,800","640,017,400","23,166","78,766",350,"1,559","394,269,300","1,034,286,700","46,482","125,248",364,"1,550","309,706,600","1,343,993,300","36,546","161,794",346,"1,406","70,180,800","1,414,174,100","8,953","170,747",295,"1,203","61,238,200","1,475,412,300","7,881","178,628",290,"1,143","1,425,900,700","172,473"
6,툼레이더,2018-03-08,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처",로아 우타우,"알리시아 비칸데르,크리스틴 스콧 토마스,월튼 고긴스,도미닉 웨스트,오언조","106,086,400","3,687,722,104","13,774","440,672",494,"1,482","99,103,600","3,786,825,704","13,022","453,694",499,"1,400","107,618,682","3,894,444,386","12,786","466,480",497,"1,348","225,410,276","4,119,854,662","26,552","493,032",511,"1,255","196,711,000","4,316,565,662","23,013","516,045",508,"1,194","60,368,400","4,376,934,062","7,919","523,964",462,"1,129","48,337,900","4,425,271,962","6,429","530,393",446,"1,071","843,636,258","103,495"
7,쓰리 빌보드,2018-03-15,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"코미디,범죄,드라마",마틴 맥도나,"프란시스 맥도먼드,우디 해럴슨,샘 록웰,존 혹스,피터 딘클리지","15,124,400","50,222,700","1,684","5,782",17,17,"39,847,700","90,070,400","5,236","11,018",88,238,"56,705,800","146,776,200","6,679","17,697",94,275,"107,184,700","253,960,900","12,523","30,220",110,276,"92,590,200","346,551,100","10,854","41,074",103,277,"36,936,700","383,487,800","4,926","46,000",95,292,"37,637,100","421,124,900","4,993","50,993",97,294,"386,026,600","46,895"
8,셰이프 오브 워터: 사랑의 모양,2018-02-22,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"어드벤처,판타지",기예르모 델 토로,"샐리 호킨스,마이클 섀넌,리차드 젠킨스,더그 존스,마이클 스털버그,옥타비아 스펜서","38,206,500","3,725,525,100","4,927","448,421",183,356,"32,647,400","3,758,172,500","4,194","452,615",178,307,"47,397,000","3,805,569,500","5,396","458,011",191,322,"88,902,700","3,894,472,200","10,007","468,018",193,313,"72,158,800","3,966,631,000","8,133","476,151",193,316,"26,293,600","3,992,924,600","3,389","479,540",180,313,"26,183,300","4,019,107,900","3,484","483,024",179,306,"331,789,300","39,530"
9,궁합,2018-02-28,한국,한국,(주)주피터필름,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",홍창표,"심은경,이승기,김상경,연우진,강민혁,최우식,조복래,최민호,박선영,이한서","39,700,200","10,217,503,538","5,674","1,304,717",360,704,"36,566,600","10,254,070,138","5,203","1,309,920",338,599,"34,241,000","10,288,311,138","4,401","1,314,321",323,567,"56,814,800","10,345,125,938","7,121","1,321,442",311,508,"48,176,200","10,393,302,138","5,999","1,327,441",296,463,"22,548,200","10,415,850,338","3,291","1,330,732",280,454,"17,647,800","10,433,498,138","2,561","1,333,293",273,419,"255,694,800","34,250"
