기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2016-08-24 ~ 2016-08-30 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2016-08-24,,,,,,2016-08-25,,,,,,2016-08-26,,,,,,2016-08-27,,,,,,2016-08-28,,,,,,2016-08-29,,,,,,2016-08-30,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
1,터널,2016-08-10,한국,한국,"(주)어나더썬데이,(주)비에이엔터테인먼트",(주)쇼박스,12세이상관람가,드라마,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구,진용욱,이한서,예수정","945,083,760","44,570,312,802","125,767","5,503,612",790,"3,769","836,427,300","45,406,740,102","111,605","5,615,217",757,"3,330","1,131,702,778","46,538,442,880","134,940","5,750,157",784,"3,459","2,344,077,857","48,882,520,737","277,047","6,027,204",818,"3,788","2,150,448,960","51,032,969,697","253,342","6,280,546",792,"3,657","585,489,900","51,618,459,597","77,798","6,358,344",744,"3,335","532,463,000","52,150,922,597","71,368","6,429,712",749,"3,327","8,525,693,555","1,051,867"
2,라이트 아웃,2016-08-24,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),데이비드 F. 샌드버그,"테레사 팔머,알리시아 벨라 베일리,가브리엘 베이트먼,알렉산더 디퍼시아","445,513,550","548,064,050","57,997","70,542",425,"1,730","513,341,400","1,061,405,450","66,423","136,965",476,"1,663","766,766,922","1,828,172,372","92,118","229,083",526,"1,787","1,347,305,703","3,175,478,075","164,127","393,210",640,"2,181","1,185,720,200","4,361,198,275","141,213","534,423",659,"2,247","413,355,800","4,774,554,075","53,191","587,614",516,"2,068","351,601,300","5,126,155,375","45,293","632,907",540,"2,086","5,023,604,875","620,362"
3,덕혜옹주,2016-08-03,한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원","402,551,300","39,962,526,089","55,709","5,025,717",597,"2,389","358,375,200","40,320,901,289","50,082","5,075,799",496,"1,958","423,319,600","40,744,220,889","52,784","5,128,583",506,"1,993","770,035,400","41,514,256,289","92,992","5,221,575",551,"2,100","706,808,600","42,221,064,889","84,746","5,306,321",536,"2,006","212,978,000","42,434,042,889","29,635","5,335,956",504,"1,917","220,257,800","42,654,300,689","31,275","5,367,231",520,"1,910","3,094,325,900","397,223"
4,고스트버스터즈,2016-08-25,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,코미디,SF",폴 페이그,"멜리사 맥카시,크리스 헴스워스,크리스틴 위그,케이트 맥키넌,레슬리 존스","4,159,000","9,225,000",520,994,5,6,"241,711,700","250,936,700","32,371","33,365",418,"1,325","348,004,478","598,941,178","41,573","74,938",438,"1,356","735,336,297","1,334,277,475","88,000","162,938",490,"1,399","718,364,700","2,052,642,175","85,938","248,876",511,"1,440","192,456,100","2,245,098,275","25,411","274,287",451,"1,437","181,165,100","2,426,263,375","24,217","298,504",457,"1,428","2,421,197,375","298,030"
5,스타트렉 비욘드,2016-08-17,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,SF",저스틴 린,"크리스 파인,사이먼 페그,조 샐다나,재커리 퀸토,칼 어번,안톤 옐친,존 조,이드리스 엘바,소피아 부텔라","314,329,200","7,275,528,020","38,485","819,394",514,"2,069","218,275,000","7,493,803,020","26,260","845,654",431,"1,366","347,619,300","7,841,422,320","37,401","883,055",473,"1,404","653,868,300","8,495,290,620","70,941","953,996",489,"1,416","545,762,400","9,041,053,020","59,601","1,013,597",487,"1,369","139,042,400","9,180,095,420","16,844","1,030,441",443,"1,293","139,243,000","9,319,338,420","16,460","1,046,901",431,"1,267","2,358,139,600","265,992"
6,부산행,2016-07-20,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,"공유,김정희,정유미,김율호,마동석,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현","178,842,400","91,057,199,428","23,819","11,303,121",409,"1,050","131,905,900","91,189,105,328","17,647","11,320,768",347,732,"175,224,600","91,364,329,928","20,767","11,341,535",373,780,"354,813,520","91,719,143,448","41,626","11,383,161",397,848,"345,111,400","92,064,254,848","40,508","11,423,669",393,810,"108,695,500","92,172,950,348","14,435","11,438,104",371,787,"97,936,200","92,270,886,548","13,194","11,451,298",377,780,"1,392,529,520","171,996"
7,인천상륙작전,2016-07-27,한국,한국,(주)태원엔터테인먼트,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,이유진,한비,김희진,진용욱","176,291,500","53,554,501,703","24,785","6,847,431",441,"1,135","133,978,600","53,688,480,303","19,345","6,866,776",374,794,"146,378,400","53,834,858,703","18,681","6,885,457",378,797,"277,340,800","54,112,199,503","33,846","6,919,303",396,841,"292,068,600","54,404,268,103","34,888","6,954,191",394,812,"83,187,700","54,487,455,803","11,501","6,965,692",378,786,"79,896,900","54,567,352,703","11,265","6,976,957",376,774,"1,189,142,500","154,311"
8,마이펫의 이중생활,2016-08-03,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,코미디,가족",크리스 리노드,"스티브 쿠건,엘리 켐퍼,레이크 벨,데이너 카비,케빈 하트","126,748,600","17,798,745,055","17,787","2,316,106",371,752,"94,796,100","17,893,541,155","13,282","2,329,388",327,569,"97,876,300","17,991,417,455","12,205","2,341,593",342,587,"387,206,500","18,378,623,955","48,260","2,389,853",473,966,"384,726,600","18,763,350,555","47,484","2,437,337",466,960,"48,863,100","18,812,213,655","6,495","2,443,832",310,511,"50,148,900","18,862,362,555","6,892","2,450,724",312,515,"1,190,366,100","152,405"
9,플로렌스,2016-08-24,영국,영국,,(주)이수C&E,15세이상관람가,드라마,스티븐 프리어스,"메릴 스트립,휴 그랜트","126,851,700","145,042,700","17,466","19,711",382,"1,154","110,264,700","255,307,400","15,369","35,080",373,"1,036","129,137,200","384,444,600","15,991","51,071",378,"1,012","180,327,200","564,771,800","21,539","72,610",375,818,"145,677,800","710,449,600","17,356","89,966",359,748,"63,922,200","774,371,800","8,863","98,829",347,814,"68,845,900","843,217,700","9,630","108,459",359,828,"825,026,700","106,214"
10,올레,2016-08-25,한국,한국,(주)어바웃필름,"(주)대명문화공장,(주)리틀빅픽쳐스",15세이상관람가,"드라마,코미디",채두병,"신하균,박희순,오만석,유다인,이형섭,변준석,양희선,장성범","2,500,000","21,044,000",500,"2,822",4,6,"90,324,800","111,368,800","12,249","15,071",338,899,"87,244,200","198,613,000","10,609","25,680",330,853,"110,642,900","309,255,900","13,195","38,875",336,691,"95,968,500","405,224,400","11,483","50,358",337,653,"36,081,700","441,306,100","4,975","55,333",309,668,"40,979,700","482,285,800","5,778","61,111",312,660,"463,741,800","58,789"
