,영화명,감독,배급사,개봉일,국적,전국관객수,장르,등급,유료시사회,개봉달,스크린수,상영횟수,관객수,매출액,누적관객수,주연,감독관객,평점,평점수,SSS,SS,S,A,B,C,D,F,기록없음
0,명량,김한민,씨제이이앤엠(주),2014-07-30,한국,17613682,사극,15세이상관람가,0,7,37,157,"22,500","172,231,000","22,500","최민식,류승룡,조진웅",5878586,8.64,1675,0,0,0,1,0,1,1,0,0
1,신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,한국,14410931,판타지,12세이상관람가,0,12,34,62,"16,199","127,032,200","16,199","하정우,차태현,주지훈,김향기,마동석",8806377,8.04,4167,4,0,1,0,0,0,0,0,0
2,국제시장,윤제균,씨제이이앤엠(주),2014-12-17,한국,14245998,드라마,12세이상관람가,1,12,68,236,"33,048","256,465,000","33,048","황정민,김윤진,오달수,정진영",14262766,8.76,1229,0,2,1,0,0,0,0,1,0
3,베테랑,류승완,씨제이이앤엠(주),2015-08-05,한국,13395400,액션,15세이상관람가,1,8,39,145,"25,421","203,522,400","25,421","황정민,유아인,유해진,오달수",2197548,8.89,686,1,1,1,1,0,0,0,0,0
4,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,한국,12811206,코미디,15세이상관람가,0,1,56,115,"24,700","171,635,000","24,700","류승룡,박신혜,갈소원,오달수,박원상,김정태,정만식,김기천",4870866,9.53,46441,0,1,1,1,1,0,2,2,0
5,암살,최동훈,(주)쇼박스,2015-07-22,한국,12705700,액션,15세이상관람가,0,7,37,64,"14,375","126,507,000","14,375","전지현,이정재,하정우",10585326,8.3,913,3,0,0,0,0,0,0,0,0
6,택시운전사,장훈,(주)쇼박스,2017-08-02,한국,12099971,드라마,15세이상관람가,1,8,83,477,"86,713","570,990,100","86,713","송강호,토마스크레취만,피터,류준열",6850391,8.5,3538,1,0,1,1,0,0,0,0,0
7,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,한국,11565078,액션,15세이상관람가,1,7,431,"2,698","565,286","4,914,895,100","565,286","공유,정유미,마동석",379103,8.23,5147,1,1,1,0,0,0,0,0,0
8,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,한국,11372451,드라마,15세이상관람가,1,12,16,89,"19,943","138,050,000","19,943","송강호,김영애,오달수,곽도원,임시완",7913817,6.08,26656,1,1,1,1,0,0,1,0,0
9,검사외전,이일형,(주)쇼박스,2016-02-03,한국,9699092,범죄,15세이상관람가,1,2,20,48,"13,008","106,528,000","13,008","황정민,강동원",5067659,9.01,741,0,0,1,1,0,0,0,0,0
10,관상,한재림,(주)쇼박스,2013-09-11,한국,9134586,사극,15세이상관람가,0,9,14,50,"10,684","75,284,000","10,684","송강호,이정재,백윤식,조정석,이종석,김혜수",5138052,9.51,14565,2,0,0,1,0,3,0,0,0
11,설국열차,봉준호,씨제이이앤엠(주),2013-08-01,한국,8914845,SF,15세이상관람가,1,8,849,"4,475","435,146","2,993,597,500","435,146","크리스에반스,송강호,에드해리스,존허트,틸다스윈튼,제이미벨,옥타비아스펜서,이완브렘너,고아성,알리슨필단역허찬",3224227,8.17,37863,1,1,0,1,0,1,0,5,0
12,수상한 그녀,황동혁,씨제이이앤엠(주),2014-01-22,한국,8656397,드라마,15세이상관람가,0,1,19,149,"31,394","195,855,000","31,394","심은경,나문희,박인환,성동일,이진욱",5723926,9.55,1482,0,0,1,0,0,2,1,1,0
13,해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,한국,8646758,어드벤처,12세이상관람가,1,8,27,167,"35,335","225,478,500","35,335","김남길,손예진,신정근",6828064,8.11,1657,0,0,0,1,0,0,1,1,0
14,공조,김성훈,씨제이이앤엠(주),2017-01-18,한국,7817446,액션,15세이상관람가,0,1,24,92,"14,606","126,501,300","14,606","현빈,유해진,김주혁,장영남,이해영",4001848,8.5,615,1,2,0,0,1,0,1,0,0
15,히말라야,이석훈,씨제이이앤엠(주),2015-12-16,한국,7759473,드라마,12세이상관람가,0,12,77,168,"26,776","210,227,500","26,776",황정민정우,6828064,8.18,548,0,0,0,0,0,0,0,0,0
